protein2,i_redundancy,i_synergy,count_redundancy,count_synergy,i_sum,count_sum,synergy_score,synergy_fraction,independent_count,cooperative_count,total_count,independence_score
ARID3B,-1.37,2.21,10.0,15.0,3.58,25.0,0.6173184357541899,0.6,1725.0,25.0,1750.0,0.9857142857142858
ARID5A,-0.8,9.11,6.0,56.0,9.91,62.0,0.9192734611503531,0.9032258064516129,2083.0,62.0,2145.0,0.9710955710955711
ARNT2,-423.62,123.42,1954.0,507.0,547.04,2461.0,0.22561421468265577,0.20601381552214548,2641.0,2461.0,5102.0,0.517640141121129
ARNTL,-296.62,148.43,1369.0,632.0,445.05,2001.0,0.3335130884170318,0.31584207896051975,2521.0,2001.0,4522.0,0.5574966828836798
ATF2,-236.43,187.0,991.0,929.0,423.43,1920.0,0.44163143849042347,0.48385416666666664,4773.0,1920.0,6693.0,0.7131331241595698
ATF3,-993.64,1454.3600000000001,4820.0,6180.0,2448.0,11000.0,0.5941013071895426,0.5618181818181818,12374.0,11000.0,23374.0,0.5293916317275605
ATF4,-49.67,120.97,261.0,573.0,170.64,834.0,0.7089193624003751,0.6870503597122302,2689.0,834.0,3523.0,0.7632699403917116
ATF6,-51.63,13.2,263.0,79.0,64.83,342.0,0.20360944007403978,0.2309941520467836,1353.0,342.0,1695.0,0.7982300884955752
ATF7,-575.52,161.28,2461.0,856.0,736.8,3317.0,0.21889250814332248,0.25806451612903225,2512.0,3317.0,5829.0,0.43094870475210156
BACH1,-254.29,748.28,1070.0,3060.0,1002.5699999999999,4130.0,0.7463618500453834,0.7409200968523002,6024.0,4130.0,10154.0,0.5932637384282057
BACH1::MAFK,-249.7,443.64,1286.0,2181.0,693.3399999999999,3467.0,0.6398592321227681,0.6290741274877416,7343.0,3467.0,10810.0,0.6792784458834412
BCL6,-15.620000000000001,8.06,80.0,32.0,23.68,112.0,0.34037162162162166,0.2857142857142857,1717.0,112.0,1829.0,0.9387643521049754
BHLHA15,-3.44,38.79,22.0,221.0,42.23,243.0,0.9185413213355434,0.9094650205761317,4115.0,243.0,4358.0,0.9442404772831574
BHLHE40,-407.35,124.92,1928.0,519.0,532.27,2447.0,0.23469291900727077,0.21209644462607274,2973.0,2447.0,5420.0,0.5485239852398524
CEBPA,-1.74,33.08,16.0,155.0,34.82,171.0,0.9500287191269385,0.9064327485380117,2281.0,171.0,2452.0,0.9302610114192496
CEBPB,-17.57,16.49,64.0,86.0,34.06,150.0,0.48414562536699934,0.5733333333333334,346.0,150.0,496.0,0.6975806451612904
CEBPD,-1.23,42.13,11.0,178.0,43.36,189.0,0.9716328413284133,0.9417989417989417,1978.0,189.0,2167.0,0.912782648823258
CEBPG,-41.45,109.71,205.0,549.0,151.16,754.0,0.7257872453029902,0.7281167108753316,3039.0,754.0,3793.0,0.8012127603480095
CLOCK,-3.04,9.64,25.0,60.0,12.68,85.0,0.7602523659305994,0.7058823529411765,1332.0,85.0,1417.0,0.940014114326041
CREB1,-78.54,151.68,409.0,754.0,230.22000000000003,1163.0,0.6588480583789418,0.648323301805675,4217.0,1163.0,5380.0,0.7838289962825279
CREB3,-58.85,19.71,312.0,104.0,78.56,416.0,0.25089103869653767,0.25,1190.0,416.0,1606.0,0.7409713574097135
CREB3L2,-7.3,5.16,34.0,15.0,12.46,49.0,0.41412520064205455,0.30612244897959184,660.0,49.0,709.0,0.9308885754583921
CREB3L4,-461.68,211.21,2136.0,967.0,672.89,3103.0,0.3138848846022381,0.3116339026748308,3192.0,3103.0,6295.0,0.5070691024622717
CREB5,-433.3,200.07,1928.0,930.0,633.37,2858.0,0.3158817121114041,0.3254023792862141,2713.0,2858.0,5571.0,0.48698617842398134
CREM,-703.82,344.02,3104.0,1630.0,1047.8400000000001,4734.0,0.32831348297449986,0.3443177017321504,5018.0,4734.0,9752.0,0.5145611156685808
CTCF,-255.01,107.72,1435.0,577.0,362.73,2012.0,0.296970198219061,0.28677932405566603,10273.0,2012.0,12285.0,0.8362230362230362
CUX1,-0.2,3.6300000000000003,2.0,21.0,3.8300000000000005,23.0,0.9477806788511749,0.9130434782608695,513.0,23.0,536.0,0.957089552238806
DBP,-24.11,12.68,95.0,76.0,36.79,171.0,0.34465887469421036,0.4444444444444444,1104.0,171.0,1275.0,0.8658823529411764
