protein2,i_redundancy,i_synergy,count_redundancy,count_synergy,i_sum,count_sum,synergy_score,synergy_fraction,independent_count,cooperative_count,total_count,independence_score
ALX4,0.0,1.28,0.0,10.0,1.28,10.0,1.0,1.0,832.0,10.0,842.0,0.9881235154394299
ARID3B,-2.66,0.31,20.0,3.0,2.97,23.0,0.10437710437710437,0.13043478260869565,2021.0,23.0,2044.0,0.988747553816047
ARID5A,0.0,5.95,0.0,45.0,5.95,45.0,1.0,1.0,2117.0,45.0,2162.0,0.9791859389454209
ARNTL,-295.61,253.28,1446.0,1102.0,548.89,2548.0,0.4614403614567582,0.4324960753532182,3679.0,2548.0,6227.0,0.5908141962421712
ASCL2,-4.37,37.230000000000004,39.0,219.0,41.6,258.0,0.8949519230769232,0.8488372093023255,6713.0,258.0,6971.0,0.9629895280447569
ATF2,-465.12,183.35,2429.0,896.0,648.47,3325.0,0.2827424553179021,0.2694736842105263,4409.0,3325.0,7734.0,0.5700801655029739
ATF3,-1363.82,1195.64,6751.0,5685.0,2559.46,12436.0,0.4671454134856572,0.4571405596654873,14189.0,12436.0,26625.0,0.5329201877934272
ATF4,-52.27,216.13,258.0,1232.0,268.4,1490.0,0.8052533532041729,0.8268456375838926,5090.0,1490.0,6580.0,0.7735562310030395
ATF6,-50.69,39.27,271.0,247.0,89.96000000000001,518.0,0.43652734548688304,0.4768339768339768,1399.0,518.0,1917.0,0.7297861241523214
ATF7,-1106.34,260.53,5320.0,1168.0,1366.87,6488.0,0.19060334925779335,0.18002466091245375,3438.0,6488.0,9926.0,0.3463630868426355
BACH1,-54.18,531.85,334.0,2571.0,586.03,2905.0,0.907547395184547,0.885025817555938,5793.0,2905.0,8698.0,0.6660151759025064
BACH1::MAFK,-126.16,450.98,779.0,2434.0,577.14,3213.0,0.7814048584398933,0.7575474634298164,11117.0,3213.0,14330.0,0.7757850662944871
BACH2,-169.98,543.87,1000.0,2950.0,713.85,3950.0,0.7618827484765707,0.7468354430379747,8619.0,3950.0,12569.0,0.68573474421195
BATF,-55.160000000000004,473.42,351.0,2480.0,528.58,2831.0,0.8956449354875325,0.8760155422112328,6811.0,2831.0,9642.0,0.7063887160340179
BATF3,-57.5,406.44,365.0,2112.0,463.94,2477.0,0.876061559684442,0.8526443278159064,6131.0,2477.0,8608.0,0.7122444237918215
BATF::JUN,-58.59,522.4399999999999,375.0,2748.0,581.03,3123.0,0.8991618332960432,0.8799231508165226,7304.0,3123.0,10427.0,0.7004891147981203
BCL6,-20.55,26.04,108.0,141.0,46.59,249.0,0.558918222794591,0.5662650602409639,2497.0,249.0,2746.0,0.9093226511289147
BCL6B,-9.98,5.77,48.0,42.0,15.75,90.0,0.3663492063492063,0.4666666666666667,1393.0,90.0,1483.0,0.9393122049898853
BHLHA15,0.0,18.86,0.0,138.0,18.86,138.0,1.0,1.0,5396.0,138.0,5534.0,0.9750632453921214
BHLHE40,-406.07,320.61,2000.0,1235.0,726.6800000000001,3235.0,0.4411983266362085,0.38176197836166925,4412.0,3235.0,7647.0,0.5769582842944946
CEBPA,-0.58,0.0,4.0,0.0,0.58,4.0,0.0,0.0,1772.0,4.0,1776.0,0.9977477477477478
CEBPB,-20.9,11.7,74.0,68.0,32.599999999999994,142.0,0.35889570552147243,0.4788732394366197,382.0,142.0,524.0,0.7290076335877863
CEBPD,-0.39,0.6799999999999999,3.0,4.0,1.0699999999999998,7.0,0.6355140186915889,0.5714285714285714,1556.0,7.0,1563.0,0.9955214331413947
CEBPG,-43.56,166.51,210.0,972.0,210.07,1182.0,0.7926405483886323,0.8223350253807107,4548.0,1182.0,5730.0,0.793717277486911
CLOCK,-7.010000000000001,11.35,27.0,70.0,18.36,97.0,0.6181917211328976,0.7216494845360825,1510.0,97.0,1607.0,0.939639079029247
CREB1,-149.91,135.73,894.0,715.0,285.64,1609.0,0.47517854642206975,0.4443753884400249,4650.0,1609.0,6259.0,0.7429301805400224
CREB3,-64.7,53.54,388.0,294.0,118.24000000000001,682.0,0.452807848443843,0.4310850439882698,1385.0,682.0,2067.0,0.6700532172230286
CREB3L1,-45.51,34.32,227.0,216.0,79.83,443.0,0.42991356632844796,0.48758465011286684,1452.0,443.0,1895.0,0.7662269129287599
CREB3L2,-9.32,16.36,36.0,84.0,25.68,120.0,0.6370716510903427,0.7,841.0,120.0,961.0,0.8751300728407908
CREB3L4,-877.17,322.78,4361.0,1469.0,1199.9499999999998,5830.0,0.26899454143922663,0.25197255574614064,3879.0,5830.0,9709.0,0.3995262127922546
CREB5,-842.07,287.04,4165.0,1260.0,1129.1100000000001,5425.0,0.2542179238515291,0.23225806451612904,3221.0,5425.0,8646.0,0.37254221605366644
